Date,Smoothed_Daily_Cases
2021-06-02,110.714285714286
2021-06-03,112.428571428571
2021-06-04,107.428571428571
2021-06-05,106.142857142857
2021-06-06,107.142857142857
2021-06-07,114.142857142857
2021-06-08,116.714285714286
2021-06-09,114.285714285714
2021-06-10,112.857142857143
2021-06-11,121
2021-06-12,124
2021-06-13,128.571428571429
2021-06-14,125.714285714286
2021-06-15,127.428571428571
2021-06-16,133.285714285714
2021-06-17,147.285714285714
2021-06-18,152.428571428571
2021-06-19,160.285714285714
2021-06-20,173
2021-06-21,184.714285714286
2021-06-22,199.428571428571
2021-06-23,220.857142857143
2021-06-24,231.571428571429
2021-06-25,259.428571428571
2021-06-26,284
2021-06-27,310.714285714286
2021-06-28,352
2021-06-29,402
2021-06-30,457.142857142857
2021-07-01,524.714285714286
2021-07-02,610.571428571429
2021-07-03,698.428571428572
2021-07-04,766.428571428571
2021-07-05,805
2021-07-06,876
2021-07-07,930.428571428572
2021-07-08,994.285714285714
2021-07-09,1071.28571428571
2021-07-10,1132.42857142857
2021-07-11,1182.85714285714
2021-07-12,1257.14285714286
2021-07-13,1332.42857142857
2021-07-14,1458.57142857143
2021-07-15,1543.71428571429
2021-07-16,1638.57142857143
2021-07-17,1737.85714285714
2021-07-18,1808.71428571429
2021-07-19,1870.57142857143
2021-07-20,1936.85714285714
2021-07-21,1946.28571428571
2021-07-22,2011.57142857143
2021-07-23,2049.57142857143
2021-07-24,2068.28571428571
2021-07-25,2090.85714285714
2021-07-26,2068.14285714286
2021-07-27,2065.42857142857
2021-07-28,2058.42857142857
2021-07-29,2060.85714285714
2021-07-30,2026.71428571429
2021-07-31,1977.14285714286
2021-08-01,1955.57142857143
2021-08-02,1962.85714285714
2021-08-03,1937.14285714286
2021-08-04,1946.42857142857
2021-08-05,1913.14285714286
2021-08-06,1910.71428571429
2021-08-07,1942.28571428571
2021-08-08,1920.71428571429
2021-08-09,1910
2021-08-10,1881.28571428571
2021-08-11,1851.14285714286
2021-08-12,1808.28571428571
2021-08-13,1777.71428571429
2021-08-14,1704.28571428571
2021-08-15,1668.71428571429
2021-08-16,1632.57142857143
2021-08-17,1630.28571428571
2021-08-18,1596.42857142857
2021-08-19,1578.57142857143
2021-08-20,1553.28571428571
2021-08-21,1538.57142857143
2021-08-22,1536.14285714286
2021-08-23,1523.14285714286
2021-08-24,1490.14285714286
2021-08-25,1478.42857142857
2021-08-26,1434.14285714286
2021-08-27,1395.57142857143
2021-08-28,1363
2021-08-29,1403.71428571429
2021-08-30,1415.28571428571
2021-08-31,1392.42857142857
2021-09-01,1379.42857142857
2021-09-02,1389.14285714286
2021-09-03,1431.57142857143
2021-09-04,1440.28571428571
2021-09-05,1396.14285714286
2021-09-06,1385.28571428571
2021-09-07,1402.14285714286
2021-09-08,1358.28571428571
2021-09-09,1314.28571428571
2021-09-10,1212.71428571429
2021-09-11,1158.42857142857
2021-09-12,1115
2021-09-13,1063.85714285714
2021-09-14,1005.57142857143
2021-09-15,986.714285714286
2021-09-16,968.142857142857
2021-09-17,984.714285714286
2021-09-18,960.571428571429
2021-09-19,916.142857142857
2021-09-20,884.428571428571
2021-09-21,847.714285714286
2021-09-22,804.571428571429
2021-09-23,759.142857142857
2021-09-24,684.714285714286
2021-09-25,656.428571428571
2021-09-26,627
2021-09-27,611.571428571429
2021-09-28,588
2021-09-29,560.428571428571
2021-09-30,529.714285714286
2021-10-01,499.714285714286
2021-10-02,479.142857142857
2021-10-03,464.857142857143
2021-10-04,447.857142857143
2021-10-05,420.857142857143
2021-10-06,412.285714285714
2021-10-07,417
2021-10-08,407.857142857143
2021-10-09,390.571428571429
2021-10-10,382.714285714286
2021-10-11,367.571428571429
2021-10-12,356.142857142857
2021-10-13,338.428571428571
2021-10-14,313.285714285714
2021-10-15,291.857142857143
2021-10-16,282.571428571429
2021-10-17,273.857142857143
2021-10-18,260.285714285714
2021-10-19,244.285714285714
2021-10-20,232.857142857143
2021-10-21,220.714285714286
2021-10-22,210.857142857143
2021-10-23,198.714285714286
2021-10-24,185
2021-10-25,180
2021-10-26,171.857142857143
2021-10-27,165.571428571429
2021-10-28,160.857142857143
2021-10-29,156.428571428571
2021-10-30,155.428571428571
2021-10-31,151.142857142857
2021-11-01,147.714285714286
2021-11-02,148.571428571429
2021-11-03,140.857142857143
2021-11-04,135.857142857143
2021-11-05,125.428571428571
2021-11-06,120.142857142857
2021-11-07,117
2021-11-08,115.142857142857
2021-11-09,107.428571428571
