,Guanajuato,Comunidad_0,Comunidad_1,Comunidad_2,Comunidad_3,Comunidad2_0,Comunidad2_1
0,13.714285714285714,7.571428571428571,2.0,0.42857142857142855,3.7142857142857144,7.571428571428571,6.142857142857143
1,15.714285714285714,9.0,2.5714285714285716,0.42857142857142855,3.7142857142857144,9.0,6.714285714285714
2,15.714285714285714,8.714285714285714,3.142857142857143,0.2857142857142857,3.5714285714285716,8.714285714285714,7.0
3,13.714285714285714,7.428571428571429,3.2857142857142856,0.2857142857142857,2.7142857142857144,7.428571428571429,6.285714285714286
4,12.285714285714286,6.428571428571429,3.0,0.14285714285714285,2.7142857142857144,6.428571428571429,5.857142857142857
5,13.571428571428571,7.285714285714286,3.5714285714285716,0.14285714285714285,2.5714285714285716,7.285714285714286,6.285714285714286
6,14.428571428571429,7.428571428571429,4.285714285714286,0.2857142857142857,2.4285714285714284,7.428571428571429,7.0
7,15.142857142857142,8.142857142857142,4.142857142857143,0.42857142857142855,2.4285714285714284,8.142857142857142,7.0
8,14.142857142857142,7.428571428571429,3.857142857142857,0.42857142857142855,2.4285714285714284,7.428571428571429,6.714285714285714
9,16.285714285714285,8.285714285714286,4.714285714285714,0.5714285714285714,2.7142857142857144,8.285714285714286,8.0
10,18.571428571428573,8.571428571428571,5.571428571428571,0.5714285714285714,3.857142857142857,8.571428571428571,10.0
11,20.857142857142858,9.857142857142858,6.428571428571429,0.5714285714285714,4.0,9.857142857142858,11.0
12,21.714285714285715,9.857142857142858,6.285714285714286,0.8571428571428571,4.714285714285714,9.857142857142858,11.857142857142858
13,23.285714285714285,10.428571428571429,6.142857142857143,0.5714285714285714,6.142857142857143,10.428571428571429,12.857142857142858
14,22.428571428571427,9.285714285714286,6.285714285714286,0.42857142857142855,6.428571428571429,9.285714285714286,13.142857142857142
15,24.0,9.428571428571429,6.142857142857143,0.42857142857142855,8.0,9.428571428571429,14.571428571428571
16,29.857142857142858,12.857142857142858,6.142857142857143,0.42857142857142855,10.428571428571429,12.857142857142858,17.0
17,35.0,15.428571428571429,6.285714285714286,0.42857142857142855,12.857142857142858,15.428571428571429,19.571428571428573
18,39.714285714285715,19.142857142857142,5.428571428571429,1.1428571428571428,14.0,19.142857142857142,20.571428571428573
19,42.0,21.0,5.714285714285714,0.8571428571428571,14.428571428571429,21.0,21.0
20,47.42857142857143,26.0,5.428571428571429,1.5714285714285714,14.428571428571429,26.0,21.428571428571427
21,50.285714285714285,28.142857142857142,5.714285714285714,1.5714285714285714,14.857142857142858,28.142857142857142,22.142857142857142
22,50.714285714285715,29.285714285714285,5.857142857142857,1.5714285714285714,14.0,29.285714285714285,21.428571428571427
23,55.0,32.42857142857143,6.428571428571429,1.8571428571428572,14.285714285714286,32.42857142857143,22.571428571428573
24,57.857142857142854,34.57142857142857,6.857142857142857,2.4285714285714284,14.0,34.57142857142857,23.285714285714285
25,65.28571428571429,37.857142857142854,8.571428571428571,2.5714285714285716,16.285714285714285,37.857142857142854,27.428571428571427
26,73.0,43.714285714285715,9.571428571428571,3.0,16.714285714285715,43.714285714285715,29.285714285714285
27,74.42857142857143,44.0,10.285714285714286,2.2857142857142856,17.857142857142858,44.0,30.428571428571427
28,75.42857142857143,44.0,11.285714285714286,2.4285714285714284,17.714285714285715,44.0,31.428571428571427
29,79.85714285714286,47.285714285714285,12.0,2.4285714285714284,18.142857142857142,47.285714285714285,32.57142857142857
30,87.28571428571429,52.714285714285715,13.714285714285714,2.857142857142857,18.0,52.714285714285715,34.57142857142857
31,91.57142857142857,54.285714285714285,15.0,3.2857142857142856,19.0,54.285714285714285,37.285714285714285
32,100.28571428571429,61.0,15.857142857142858,3.4285714285714284,20.0,61.0,39.285714285714285
33,107.14285714285714,65.28571428571429,16.285714285714285,3.5714285714285716,22.0,65.28571428571429,41.857142857142854
34,115.71428571428571,70.71428571428571,18.142857142857142,4.0,22.857142857142858,70.71428571428571,45.0
35,120.57142857142857,74.14285714285714,17.714285714285715,4.285714285714286,24.428571428571427,74.14285714285714,46.42857142857143
36,121.42857142857143,73.42857142857143,18.142857142857142,4.857142857142857,25.0,73.42857142857143,48.0
37,137.71428571428572,82.85714285714286,18.714285714285715,5.571428571428571,30.571428571428573,82.85714285714286,54.857142857142854
38,150.71428571428572,90.57142857142857,22.142857142857142,5.285714285714286,32.714285714285715,90.57142857142857,60.142857142857146
39,166.71428571428572,98.42857142857143,29.285714285714285,5.428571428571429,33.57142857142857,98.42857142857143,68.28571428571429
40,181.0,102.42857142857143,35.0,7.0,36.57142857142857,102.42857142857143,78.57142857142857
41,189.28571428571428,108.28571428571429,34.57142857142857,7.571428571428571,38.857142857142854,108.28571428571429,81.0
42,192.0,108.42857142857143,36.57142857142857,7.428571428571429,39.57142857142857,108.42857142857143,83.57142857142857
43,200.57142857142858,113.42857142857143,37.57142857142857,8.0,41.57142857142857,113.42857142857143,87.14285714285714
44,220.71428571428572,128.57142857142858,42.0,8.428571428571429,41.714285714285715,128.57142857142858,92.14285714285714
45,248.14285714285714,146.42857142857142,48.57142857142857,10.0,43.142857142857146,146.42857142857142,101.71428571428571
46,261.14285714285717,153.14285714285714,50.285714285714285,10.857142857142858,46.857142857142854,153.14285714285714,108.0
47,278.85714285714283,159.71428571428572,57.42857142857143,11.857142857142858,49.857142857142854,159.71428571428572,119.14285714285714
48,310.14285714285717,176.0,66.57142857142857,13.714285714285714,53.857142857142854,176.0,134.14285714285714
49,340.0,200.0,68.42857142857143,14.714285714285714,56.857142857142854,200.0,140.0
