Date,Smoothed_Daily_Cases
2021-11-10,103.71428571428571
2021-11-11,103.0
2021-11-12,105.28571428571429
2021-11-13,102.57142857142857
2021-11-14,101.71428571428571
2021-11-15,102.14285714285714
2021-11-16,108.14285714285714
2021-11-17,117.71428571428571
2021-11-18,117.28571428571429
2021-11-19,118.0
2021-11-20,121.85714285714286
2021-11-21,123.71428571428571
2021-11-22,126.85714285714286
2021-11-23,124.57142857142857
2021-11-24,124.57142857142857
2021-11-25,128.57142857142858
2021-11-26,127.14285714285714
2021-11-27,132.14285714285714
2021-11-28,134.42857142857142
2021-11-29,136.85714285714286
2021-11-30,141.57142857142858
2021-12-01,137.0
2021-12-02,139.71428571428572
2021-12-03,144.14285714285714
2021-12-04,140.14285714285714
2021-12-05,138.28571428571428
2021-12-06,134.71428571428572
2021-12-07,138.71428571428572
2021-12-08,139.0
2021-12-09,140.85714285714286
2021-12-10,141.28571428571428
2021-12-11,148.28571428571428
2021-12-12,153.57142857142858
2021-12-13,160.14285714285714
2021-12-14,161.28571428571428
2021-12-15,180.0
2021-12-16,192.28571428571428
2021-12-17,225.42857142857142
2021-12-18,242.71428571428572
2021-12-19,265.7142857142857
2021-12-20,295.42857142857144
2021-12-21,359.7142857142857
2021-12-22,427.7142857142857
2021-12-23,525.4285714285714
2021-12-24,625.5714285714286
2021-12-25,724.2857142857143
2021-12-26,794.7142857142857
2021-12-27,903.4285714285714
2021-12-28,1033.0
2021-12-29,1341.857142857143
2021-12-30,1650.0
2021-12-31,2086.0
2022-01-01,2458.8571428571427
2022-01-02,2832.8571428571427
2022-01-03,3173.4285714285716
2022-01-04,3554.0
2022-01-05,3895.714285714286
2022-01-06,4310.857142857143
2022-01-07,4791.714285714285
2022-01-08,5088.714285714285
2022-01-09,5534.428571428572
2022-01-10,5828.285714285715
2022-01-11,6085.714285714285
2022-01-12,6165.428571428572
2022-01-13,6245.285714285715
2022-01-14,6205.857142857143
2022-01-15,6240.428571428572
2022-01-16,6004.285714285715
2022-01-17,5892.0
2022-01-18,5646.571428571428
2022-01-19,5542.571428571428
2022-01-20,5323.285714285715
2022-01-21,5068.857142857143
2022-01-22,4881.428571428572
2022-01-23,4705.857142857143
2022-01-24,4459.714285714285
2022-01-25,4260.0
2022-01-26,4022.8571428571427
2022-01-27,3779.285714285714
2022-01-28,3480.285714285714
2022-01-29,3246.8571428571427
2022-01-30,2970.1428571428573
2022-01-31,2779.1428571428573
2022-02-01,2585.8571428571427
2022-02-02,2345.1428571428573
2022-02-03,2098.1428571428573
2022-02-04,1881.4285714285713
2022-02-05,1674.2857142857142
2022-02-06,1588.7142857142858
2022-02-07,1470.0
2022-02-08,1376.857142857143
2022-02-09,1257.0
2022-02-10,1166.5714285714287
2022-02-11,1058.142857142857
2022-02-12,956.1428571428571
2022-02-13,883.4285714285714
2022-02-14,836.4285714285714
2022-02-15,786.5714285714286
2022-02-16,735.4285714285714
2022-02-17,675.4285714285714
2022-02-18,594.2857142857143
2022-02-19,532.4285714285714
2022-02-20,498.0
2022-02-21,454.14285714285717
2022-02-22,416.57142857142856
2022-02-23,378.42857142857144
2022-02-24,333.14285714285717
2022-02-25,307.0
2022-02-26,284.0
2022-02-27,261.14285714285717
2022-02-28,252.0
2022-03-01,234.42857142857142
2022-03-02,213.0
2022-03-03,202.28571428571428
2022-03-04,179.0
2022-03-05,166.0
2022-03-06,151.0
2022-03-07,138.85714285714286
2022-03-08,133.0
2022-03-09,127.0
2022-03-10,118.42857142857143
2022-03-11,113.71428571428571
2022-03-12,105.57142857142857
2022-03-13,100.14285714285714
2022-03-14,93.0
2022-03-15,86.42857142857143
2022-03-16,80.71428571428571
2022-03-17,78.28571428571429
2022-03-18,65.85714285714286
2022-03-19,72.57142857142857
2022-03-20,71.28571428571429
2022-03-21,70.85714285714286
2022-03-22,69.57142857142857
2022-03-23,71.42857142857143
2022-03-24,70.85714285714286
2022-03-25,76.71428571428571
2022-03-26,69.85714285714286
2022-03-27,68.42857142857143
2022-03-28,66.57142857142857
2022-03-29,68.28571428571429
2022-03-30,65.42857142857143
2022-03-31,64.28571428571429
2022-04-01,58.857142857142854
2022-04-02,55.57142857142857
2022-04-03,53.714285714285715
2022-04-04,53.57142857142857
2022-04-05,49.285714285714285
2022-04-06,48.0
2022-04-07,46.714285714285715
2022-04-08,43.285714285714285
2022-04-09,39.714285714285715
2022-04-10,37.42857142857143
2022-04-11,36.42857142857143
2022-04-12,37.714285714285715
2022-04-13,33.857142857142854
2022-04-14,32.714285714285715
2022-04-15,35.57142857142857
2022-04-16,38.142857142857146
2022-04-17,39.714285714285715
2022-04-18,39.857142857142854
2022-04-19,39.142857142857146
2022-04-20,42.285714285714285
2022-04-21,42.0
2022-04-22,41.57142857142857
2022-04-23,41.285714285714285
2022-04-24,40.285714285714285
2022-04-25,38.857142857142854
2022-04-26,38.142857142857146
2022-04-27,36.857142857142854
2022-04-28,38.0
2022-04-29,35.42857142857143
2022-04-30,37.142857142857146
2022-05-01,38.714285714285715
2022-05-02,40.142857142857146
2022-05-03,39.857142857142854
2022-05-04,41.57142857142857
2022-05-05,38.285714285714285
2022-05-06,36.142857142857146
2022-05-07,33.285714285714285
2022-05-08,29.571428571428573
2022-05-09,26.285714285714285
2022-05-10,24.285714285714285
2022-05-11,17.714285714285715
2022-05-12,14.857142857142858
2022-05-13,11.714285714285714
